0.40	-0.344270
0.42	-0.337169
0.44	-0.349671
0.46	-0.350899
0.48	-0.353293
0.50	-0.353588
0.52	-0.337540
0.54	-0.313562
0.56	-0.310545
0.58	-0.330667
0.60	-0.334297
0.62	-0.328686
0.64	-0.315114
0.66	-0.302328
0.68	-0.304642
0.70	-0.280503
0.72	-0.269279
0.74	-0.262265
0.76	-0.243140
0.78	-0.216030
0.80	-0.219056
0.82	-0.206362
0.84	-0.189241
0.86	-0.166431
0.88	-0.148407
0.90	-0.119109
0.92	-0.096694
0.94	-0.069422
0.96	-0.043473
0.98	-0.021350
1.00	0.000276
1.02	0.037214
1.04	0.082714
1.06	0.129131
1.08	0.152381
1.10	0.158705
1.12	0.129794
1.14	0.094781
1.16	0.089426
1.18	0.069970
1.20	0.065078
1.22	0.054808
1.24	0.060211
1.26	0.062875
1.28	0.088043
1.30	0.115945
1.32	0.152102
1.34	0.206723
1.36	0.274153
1.38	0.360744
1.40	0.441220
1.42	0.539375
1.44	0.659967
1.46	0.763748
1.48	0.740236
1.50	0.694519
1.52	0.663842
1.54	0.590844
1.56	0.514235
1.58	0.410984
1.60	0.318270
1.62	0.254117
1.64	0.206877
1.66	0.156435
1.68	0.131652
1.70	0.102926
1.72	0.096732
1.74	0.078403
1.76	0.060954
1.78	0.042059
1.80	0.026977
1.82	0.023969
1.84	0.027187
1.86	0.033498
1.88	0.021576
1.90	0.024552
1.92	0.012057
1.94	-0.002493
1.96	-0.012108
1.98	-0.001036
2.00	-0.001790
2.02	-0.008450
2.04	-0.016158
2.06	-0.014343
2.08	-0.007801
2.10	-0.011930
2.12	0.002398
2.14	0.001375
2.16	0.009614
2.18	0.027630
2.20	0.036747
2.22	0.041410
2.24	0.027882
2.26	0.038840
2.28	0.039160
2.30	0.032221
2.32	0.021751
2.34	0.013646
2.36	0.010878
2.38	0.008170
2.40	-0.001129
2.42	-0.002880
2.44	-0.003664
2.46	-0.002190
2.48	-0.003409
2.50	-0.012415
2.52	-0.011129
2.54	-0.017606
2.56	-0.020681
2.58	-0.023008
2.60	-0.026651
2.62	-0.034515
2.64	-0.045165
2.66	-0.055506
2.68	-0.066224
2.70	-0.074083
2.72	-0.076523
2.74	-0.073319
2.76	-0.078859
2.78	-0.092488
2.80	-0.106478
2.82	-0.118198
2.84	-0.124378
2.86	-0.129971
2.88	-0.133917
2.90	-0.137673
2.92	-0.139907
2.94	-0.147600
2.96	-0.154023
2.98	-0.163320
3.00	-0.166494
3.02	-0.171224
3.04	-0.172933
3.06	-0.177640
3.08	-0.183891
3.10	-0.187983
3.12	-0.186992
3.14	-0.188790
3.16	-0.193465
3.18	-0.192416
3.20	-0.194550
3.22	-0.189546
3.24	-0.183400
3.26	-0.175812
3.28	-0.177513
3.30	-0.177833
3.32	-0.175807
3.34	-0.169253
3.36	-0.168931
3.38	-0.166775
3.40	-0.167702
3.42	-0.172924
3.44	-0.171662
3.46	-0.167184
